"text","number","abbr"
"to Buy","11.81","PT_BU"
"to Sell","11.82","PT_SL"
"to Trade","11.83","PT_TD"
"Merchant, Tradesman","11.84","PT_MT"
"Market (place)","11.85","PT_MK"
"Store, Shop (n)","11.86","PT_SS"
"Price","11.87","PT_PC"
"Dear, Expensive","11.88","PT_DR"
"Cheap","11.89","PT_CH"
"Place","12.11","SR_PL"
"to Put, Place, Set, Lay","12.12","SR_PU"
"to Sit","12.13","SR_SI"
"to Lie, Recline","12.14","SR_LI"
"to Stand","12.15","SR_ST"
"to Stay, Wait, Remain","12.16","SR_RM"
"to Remain, be Left Over","12.17","SR_RL"
"to Leave, Relinquish","12.18","SR_LE"
"Quiet (adj)","12.19","SR_QU"
"to Gather, Collect","12.21","SR_CG"
"to Join, Unite","12.22","SR_JU"
"to Separate","12.23","SR_SE"
"to Divide","12.232","SR_DI"
"to Open","12.24","SR_OP"
"to Shut, Close","12.25","SR_SH"
"to Cover","12.26","SR_CO"
"to Hide, Conceal","12.27","SR_HC"
"High","12.31","SR_HI"
"Low","12.32","SR_LO"
"Top","12.33","SR_TO"
"Bottom","12.34","SR_BO"
"End","12.35","SR_EN"
"Point","12.352","SR_PO"
"Edge","12.353","SR_ED"
"Side","12.36","SR_SD"
"Middle","12.37","SR_MI"
"Center","12.38","SR_CT"
"Right (vs","12.41","SR_RI"
"Left (vs","12.42","SR_LF"
"Near (adj)","12.43","SR_NE"
"Far (adj)","12.44","SR_FR"
"East","12.45","SR_EA"
"West","12.46","SR_WE"
"North","12.47","SR_NO"
"South","12.48","SR_SO"
"Form, Shape (n)","12.51","SR_FS"
"Size (n)","12.52","SR_SZ"
"to Grow","12.53","SR_GW"
"to Measure","12.54","SR_MS"
"Big, Large, Great","12.55","SR_XL"
"Small, Little","12.56","SR_SM"
"Long","12.57","SR_LG"
"Tall","12.58","SR_TL"
"Short","12.59","SR_SS"
"Wide, Broad","12.61","SR_WB"
"Narrow","12.62","SR_NR"
"Thick (in Dimension)","12.63","SR_TD"
"Thick (in Density)","12.64","SR_TS"
"Thin (in Dimension)","12.65","SR_ND"
"Thin (in Density)","12.66","SR_NS"
"Deep","12.67","SR_DP"
"Shallow","12.68","SR_SW"
"Flat","12.71","SR_FL"
"Hollow, Concave","12.72","SR_HW"
