Starling ID,Headwords,Gloss,chosen_abbr,v1_choice,differs_from_v1,enrichment_used,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR740,*Kīr-,to be cold,SP_CD,TI_WI,YES,yes,SP_CD,"Sense Perception — Cold, Frigid",0.453,TI_WI,Time — Winter,0.384,EM_DE,Emotion — to Desire,0.372
PDR741,*kīr_- (*-d_-),"to cry, call",EM_CW,EM_CW,,yes,EM_CW,"Emotion — to Cry, Weep",0.542,EM_TR,Emotion — Tear (n),0.445,EM_DR,Emotion — Dear,0.419
PDR742,*kīẓ-,lower; beneath,SR_LO,SR_BO,YES,yes,SR_LO,Spatial Relations — Low,0.319,MO_SI,Motion & Transportation — to Sink,0.226,SR_HI,Spatial Relations — High,0.214
PDR743,*kīẓ-,old,TI_OL,TI_OL,,yes,TI_OL,Time — Old,0.617,TI_AG,Time — Age,0.504,TI_YG,Time — Young,0.396
PDR744,*kobbar-,"coconut kernel, copra",FD_NT,AV_ST,YES,yes,FD_NT,Food & Drink — Nut,0.437,FD_BN,Food & Drink — Bean,0.410,FD_PE,Food & Drink — Pea,0.396
PDR745,*kod-,to boil; to reduce to pulp,FD_BO,FD_BO,,yes,FD_BO,Food & Drink — to Boil (trans,0.727,MO_BO,Motion & Transportation — to Boil (intrans,0.533,FD_CO,Food & Drink — to Cook,0.518
PDR746,*koḍ-,"1 crook, curve 2 sickle",PA_BN,SR_HK,YES,yes,PA_BN,Physical Acts & Materials — to Bend,0.339,PA_NA,"Physical Acts & Materials — Nail, Peg",0.321,WH_AW,Warfare & Hunting — Arrow,0.304
PDR747,*koḍ-,"point, peak",PW_MH,PW_MH,,yes,PW_MH,"Physical World — Hill, Mountain",0.422,SR_PO,Spatial Relations — Point,0.385,SR_TO,Spatial Relations — Top,0.309
PDR748,*koḍ-,to give (to 3rd person),PT_GI,PT_GI,,,PT_GI,Possession & Trade — to Give,0.622,PT_LD,Possession & Trade — to Lend,0.538,PT_GB,"Possession & Trade — to Return, Give Back",0.497
PDR749,*kod_-,hen,AN_HN,AN_HN,,yes,AN_HN,Animals — Hen,0.700,AN_HC,"Animals — Hen, Chicken (generic)",0.626,AN_CK,"Animals — Cock, Rooster",0.555
PDR750,*kod_-,to bite,BP_BI,BP_BI,,yes,BP_BI,Body Parts & Functions — to Bite,0.617,FD_SU,"Food & Drink — to Suck, Suckle",0.444,BP_LC,Body Parts & Functions — to Lick,0.387
PDR751,*kod_l-,millet,FD_ML,FD_ML,,yes,FD_ML,Food & Drink — Mill,0.513,AV_GG,"Agriculture & Vegetation — Grain (generic, British Corn)",0.417,FD_MF,"Food & Drink — Meal, Flour",0.417
PDR752,*koɣ-,child,MK_CH,AN_KI,YES,yes,MK_CH,Mankind — Child,0.533,MK_IN,Mankind — Infant,0.428,AN_KI,Animals — Kid,0.404
PDR753,*koj-,to reap,AV_MR,TI_AN,YES,yes,AV_MR,"Agriculture & Vegetation — to Mow, Reap",0.600,AV_SS,Agriculture & Vegetation — to Sow; Seed,0.480,AV_PL,Agriculture & Vegetation — to Plow; Plow,0.463
PDR754,*koj-,stick,PW_MT,PW_MT,,yes,PW_MT,"Physical World — Match, Fire Stick",0.356,PA_NA,"Physical Acts & Materials — Nail, Peg",0.331,FD_SP,Food & Drink — Spoon,0.330
PDR755,*Koj (?),smoke,PW_SM,PW_SM,,yes,PW_SM,Physical World — Smoke (n),0.594,AV_ST,Agriculture & Vegetation — Smoke (Tobacco),0.522,FD_PO,Food & Drink — Pot,0.396
PDR756,*kok-,"beak, bill",AN_CK,AN_BI,YES,yes,AN_CK,"Animals — Cock, Rooster",0.464,BP_FE,Body Parts & Functions — Feather,0.434,AN_BI,Animals — Bird,0.425
PDR757,*kol-,to kill,BP_KI,BP_KI,,yes,BP_KI,Body Parts & Functions — to Kill,0.466,WH_FI,Warfare & Hunting — to Fight,0.456,AN_HU,Animals — to Hunt,0.410
PDR758,*kol-,to forge,PA_FG,PA_FG,,yes,PA_FG,Physical Acts & Materials — to Forge,0.648,PA_AC,"Physical Acts & Materials — Artisan, Craftsman",0.444,PA_CM,Physical Acts & Materials — to Cast (metals),0.423
PDR759,*koḷ-,horse gram,AN_HO,AN_HO,,yes,AN_HO,Animals — Horse (generic),0.483,AN_PS,Animals — Pasture,0.396,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.385
