Starling ID,Headwords,Gloss,chosen_abbr,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR1165,*nal-,to dance,MO_DA,MO_DA,Motion & Transportation — to Dance,0.644,LM_SG,Language & Music — to Sing,0.430,LM_ST,"Language & Music — to Speak, Talk",0.419
PDR1166,*naḶ-,bug,AN_IN,AN_IN,Animals — Insect,0.283,TI_YD,Time — Yesterday,0.276,TI_NW,Time — New,0.274
PDR1167,*nam-,to believe,MT_BE,MT_BE,Mind & Thought — to Believe,0.506,RB_GD,Religion & Beliefs — God,0.374,RB_RE,Religion & Beliefs — Religion,0.350
PDR1168,*nam- (*-e-),"moist, damp",SP_WD,SP_WD,"Sense Perception — Wet, Damp",0.531,AN_WE,Animals — Wether,0.381,SP_DR,"Sense Perception — Dry, Arid",0.377
PDR1169,*ńamil-,peacock,AN_BI,AN_BI,Animals — Bird,0.536,AN_HN,Animals — Hen,0.509,AN_GS,Animals — Goose,0.499
PDR1170,*nan-,"flower, flower-bud; to blossom",AV_FL,AV_FL,Agriculture & Vegetation — Flower,0.621,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.471,AV_LE,Agriculture & Vegetation — Leaf,0.423
PDR1171,*naṇ-,to do,TI_FI,TI_FI,Time — to Finish,0.384,EM_PL,Emotion — to Please,0.341,AN_HU,Animals — to Hunt,0.320
PDR1172,*naṇ-,to approach; to join; friend,SO_ME,SO_ME,Social Relations — to Meet,0.564,SO_CR,"Social Relations — to Order, Command",0.456,SO_FR,Social Relations — Friend,0.455
PDR1173,*nanǯ-,poison,BP_KI,BP_KI,Body Parts & Functions — to Kill,0.387,BP_VO,Body Parts & Functions — to Vomit,0.379,MK_WD,Mankind — Widow,0.345
PDR1174,*nanǯ-,1 a mouthful 2 meat,FD_ME,FD_ME,Food & Drink — Meat,0.609,FD_BE,Food & Drink — Beef,0.518,FD_SG,Food & Drink — Sausage,0.484
PDR1175,*ńar-,to sound; to grumble,LM_BO,LM_BO,Language & Music — to Boast,0.480,EM_GR,Emotion — to Groan,0.477,LM_BS,Language & Music — to be Silent,0.476
PDR1176,*ńar-,grey (hair),BP_HA,BP_HA,Body Parts & Functions — Hair,0.456,SP_CO,Sense Perception — Color,0.370,CA_DY,Clothing & Adornment — to Dye,0.349
PDR1177,*nar-,"stunted, deficient",BP_WE,BP_WE,"Body Parts & Functions — Weak, Infirm",0.424,BP_SS,Body Parts & Functions — Sick; Sickness,0.404,BP_WH,Body Parts & Functions — Well; Health,0.378
PDR1178,*naramb-,"nerve, vein",BP_EB,BP_EB,Body Parts & Functions — Eyebrow,0.460,BP_TG,Body Parts & Functions — Tongue,0.438,BP_LE,Body Parts & Functions — Leg,0.436
PDR1179,"*nar-, *nar-k-","fox, jackal",AN_FX,AN_FX,Animals — Fox,0.616,AN_GS,Animals — Goose,0.410,AN_LN,Animals — Lion,0.357
PDR1180,*ńar-/*ar-,to fear,EM_FF,EM_FF,"Emotion — Fear, Fright",0.499,EM_DE,Emotion — to Desire,0.437,AN_HU,Animals — to Hunt,0.395
PDR1181,*nar_- (?),night,TI_NG,TI_NG,Time — Night,0.792,TI_EV,Time — Evening,0.687,TI_MG,Time — Morning,0.576
PDR1182,*nar_-Vk-,"to cut, scratch",PA_CU,PA_CU,Physical Acts & Materials — to Cut,0.507,FD_KN,Food & Drink — Knife,0.447,PA_SS,"Physical Acts & Materials — Shears, Scissors",0.446
PDR1183,*nas-,"to fade, waste away",TI_LS,TI_LS,Time — to Last,0.396,MO_GA,"Motion & Transportation — to Depart, Go Away",0.350,TI_CE,Time — to Cease,0.313
